Medicare Advantage Monthly Capitation Rates for 2026 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2026 Rate,Parts A&B 3.5% Bonus 2026 Rate,Parts A&B 0% Bonus 2026 Rate,Parts A&B ESRD 2026 Rate
05550,CALIFORNIA,SHASTA,"1,333.87","1,314.35","1,268.81","11,367.32"
05560,CALIFORNIA,SIERRA,"1,325.99","1,306.10","1,259.69","11,367.32"
05570,CALIFORNIA,SISKIYOU,"1,293.73","1,275.24","1,232.12","11,367.32"
05580,CALIFORNIA,SOLANO,"1,314.78","1,295.06","1,249.04","11,367.32"
05590,CALIFORNIA,SONOMA,"1,351.53","1,331.26","1,283.95","11,367.32"
05600,CALIFORNIA,STANISLAUS,"1,311.73","1,292.99","1,249.27","11,367.32"
05610,CALIFORNIA,SUTTER,"1,338.51","1,318.92","1,273.21","11,367.32"
05620,CALIFORNIA,TEHAMA,"1,303.26","1,284.18","1,239.68","11,367.32"
05630,CALIFORNIA,TRINITY,"1,331.79","1,311.81","1,265.20","11,367.32"
05640,CALIFORNIA,TULARE,"1,329.91","1,311.57","1,268.77","11,367.32"
05650,CALIFORNIA,TUOLUMNE,"1,403.74","1,382.68","1,333.55","11,367.32"
05660,CALIFORNIA,VENTURA,"1,399.81","1,378.81","1,329.82","11,367.32"
05670,CALIFORNIA,YOLO,"1,363.87","1,329.05","1,247.80","11,367.32"
05680,CALIFORNIA,YUBA,"1,328.04","1,308.12","1,261.64","11,367.32"
06000,COLORADO,ADAMS,"1,329.23","1,296.34","1,219.60","8,873.23"
06010,COLORADO,ALAMOSA,"1,255.56","1,253.92","1,214.38","8,873.23"
06020,COLORADO,ARAPAHOE,"1,309.83","1,274.10","1,190.75","8,873.23"
06030,COLORADO,ARCHULETA,"1,246.36","1,228.56","1,187.01","8,873.23"
06040,COLORADO,BACA,"1,530.96","1,508.00","1,454.41","8,873.23"
06050,COLORADO,BENT,"1,244.27","1,244.27","1,244.27","8,873.23"
06060,COLORADO,BOULDER,"1,291.32","1,256.11","1,173.93","8,873.23"
06070,COLORADO,CHAFFEE,"1,313.76","1,294.99","1,251.20","8,873.23"
06080,COLORADO,CHEYENNE,"1,626.39","1,601.99","1,545.07","8,873.23"
06090,COLORADO,CLEAR CREEK,"1,242.51","1,225.37","1,185.39","8,873.23"
06100,COLORADO,CONEJOS,"1,240.49","1,223.38","1,183.46","8,873.23"
06110,COLORADO,COSTILLA,"1,252.62","1,252.62","1,252.62","8,873.23"
06120,COLORADO,CROWLEY,"1,232.42","1,232.42","1,232.42","8,873.23"
06130,COLORADO,CUSTER,"1,245.08","1,245.08","1,208.39","8,873.23"
06140,COLORADO,DELTA,"1,222.68","1,206.38","1,168.34","8,873.23"
06150,COLORADO,DENVER,"1,352.37","1,317.84","1,237.27","8,873.23"
06160,COLORADO,DOLORES,"1,364.72","1,344.25","1,296.48","8,873.23"
06170,COLORADO,DOUGLAS,"1,321.07","1,302.20","1,258.16","8,873.23"
06180,COLORADO,EAGLE,"1,425.09","1,403.71","1,353.84","8,873.23"
06190,COLORADO,ELBERT,"1,329.46","1,293.20","1,208.60","8,873.23"
06200,COLORADO,EL PASO,"1,272.18","1,255.22","1,215.64","8,873.23"
06210,COLORADO,FREMONT,"1,191.30","1,176.41","1,141.66","8,873.23"
06220,COLORADO,GARFIELD,"1,325.16","1,305.28","1,258.90","8,873.23"
06230,COLORADO,GILPIN,"1,278.74","1,243.86","1,162.49","8,873.23"
06240,COLORADO,GRAND,"1,391.25","1,370.38","1,321.69","8,873.23"
06250,COLORADO,GUNNISON,"1,268.20","1,258.11","1,215.57","8,873.23"
06260,COLORADO,HINSDALE,"1,306.00","1,286.41","1,240.70","8,873.23"
06270,COLORADO,HUERFANO,"1,294.57","1,277.87","1,238.89","8,873.23"
06280,COLORADO,JACKSON,"1,255.05","1,236.22","1,192.30","8,873.23"
06290,COLORADO,JEFFERSON,"1,349.46","1,315.01","1,234.62","8,873.23"
06300,COLORADO,KIOWA,"1,679.62","1,654.43","1,595.64","8,873.23"
06310,COLORADO,KIT CARSON,"1,700.46","1,674.95","1,615.44","8,873.23"
06320,COLORADO,LAKE,"1,390.74","1,369.88","1,321.20","8,873.23"
