Medicare Advantage Monthly Capitation Rates for 2026 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.",,,,
Code,State,County Name,Parts A&B 2026 Rate,Parts A&B ESRD 2026 Rate
10630,FLORIDA,VOLUSIA,"1,396.41","10,242.30"
10640,FLORIDA,WAKULLA,"1,396.41","10,242.30"
10650,FLORIDA,WALTON,"1,352.93","10,242.30"
10660,FLORIDA,WASHINGTON,"1,335.58","10,242.30"
11000,GEORGIA,APPLING,"1,380.60","10,390.53"
11010,GEORGIA,ATKINSON,"1,495.97","10,390.53"
11011,GEORGIA,BACON,"1,554.16","10,390.53"
11020,GEORGIA,BAKER,"1,243.46","10,390.53"
11030,GEORGIA,BALDWIN,"1,263.49","10,390.53"
11040,GEORGIA,BANKS,"1,263.49","10,390.53"
11050,GEORGIA,BARROW,"1,396.41","10,390.53"
11060,GEORGIA,BARTOW,"1,396.41","10,390.53"
11070,GEORGIA,BEN HILL,"1,417.98","10,390.53"
11080,GEORGIA,BERRIEN,"1,418.26","10,390.53"
11090,GEORGIA,BIBB,"1,396.41","10,390.53"
11100,GEORGIA,BLECKLEY,"1,373.14","10,390.53"
11110,GEORGIA,BRANTLEY,"1,305.85","10,390.53"
11120,GEORGIA,BROOKS,"1,263.49","10,390.53"
11130,GEORGIA,BRYAN,"1,396.41","10,390.53"
11140,GEORGIA,BULLOCH,"1,263.49","10,390.53"
11150,GEORGIA,BURKE,"1,396.41","10,390.53"
11160,GEORGIA,BUTTS,"1,396.41","10,390.53"
11161,GEORGIA,CALHOUN,"1,291.87","10,390.53"
11170,GEORGIA,CAMDEN,"1,348.34","10,390.53"
11180,GEORGIA,CANDLER,"1,263.49","10,390.53"
11190,GEORGIA,CARROLL,"1,396.41","10,390.53"
11200,GEORGIA,CATOOSA,"1,396.41","10,390.53"
11210,GEORGIA,CHARLTON,"1,497.70","10,390.53"
11220,GEORGIA,CHATHAM,"1,396.41","10,390.53"
11230,GEORGIA,CHATTAHOOCHEE,"1,396.41","10,390.53"
11240,GEORGIA,CHATTOOGA,"1,263.49","10,390.53"
11250,GEORGIA,CHEROKEE,"1,350.86","10,390.53"
11260,GEORGIA,CLARKE,"1,263.49","10,390.53"
11270,GEORGIA,CLAY,"1,263.49","10,390.53"
11280,GEORGIA,CLAYTON,"1,589.39","10,390.53"
11281,GEORGIA,CLINCH,"1,619.19","10,390.53"
11290,GEORGIA,COBB,"1,396.41","10,390.53"
11291,GEORGIA,COFFEE,"1,313.13","10,390.53"
